Famille d'emploi,Profil d'emploi,Code de l'emploi,Emploi bulletin,Type compétence,Macro-compétences
ACHATS,[GR] ACHETEUR I,Emp_0766,,Compétence comportementale,Avoir le sens des affaires
ACHATS,[GR] ACHETEUR I,Emp_0766,,Compétence comportementale,Avoir le sens du service et de la relation client
ACHATS,[GR] ACHETEUR I,Emp_0766,,Compétence comportementale,Communiquer efficacement à l'écrit
ACHATS,[GR] ACHETEUR I,Emp_0766,,Compétence comportementale,Faire preuve d’adaptation
ACHATS,[GR] ACHETEUR I,Emp_0766,,Compétence comportementale,Faire preuve d’anticipation
ACHATS,[GR] ACHETEUR I,Emp_0766,,Compétence comportementale,Maîtriser ses émotions
ACHATS,[GR] ACHETEUR I,Emp_0766,,Compétence comportementale,Faire preuve de rigueur
ACHATS,[GR] ACHETEUR I,Emp_0766,,Compétence comportementale,Gérer son temps et ses priorités
ACHATS,[GR] ACHETEUR I,Emp_0766,,Compétences managériales,Avoir de l’influence et convaincre
ACHATS,[GR] ACHETEUR I,Emp_0766,,Compétences managériales,Etre orienté résultats
ACHATS,[GR] ACHETEUR I,Emp_0766,,Compétence technique,Accompagner le changement
ACHATS,[GR] ACHETEUR I,Emp_0766,,Compétence technique,Analyser des données
ACHATS,[GR] ACHETEUR I,Emp_0766,,Compétence technique,Coordonner les échanges entre différents services
ACHATS,[GR] ACHETEUR I,Emp_0766,,Compétence technique,Comprendre et mettre en œuvre les techniques commerciales
ACHATS,[GR] ACHETEUR I,Emp_0766,,Compétence technique,Utiliser les outils métiers et digitaux de son activité
ACHATS,[GR] ACHETEUR I,Emp_0766,,Compétence technique,Connaître l'environnement technique et professionnel de son activité
ACHATS,[GR] ACHETEUR I,Emp_0766,,Compétence technique,Mettre en œuvre la législation spécifique à son activité
ACHATS,[GR] ACHETEUR I,Emp_0766,,Compétence technique,Rédiger des documents de manière professionnelle
ACHATS,[GR] ACHETEUR I,Emp_0766,,Compétence technique,Gérer la relation sous-traitants/fournisseurs
ACHATS,[GR] ACHETEUR II,Emp_0767,,Compétence comportementale,Avoir le sens des affaires
ACHATS,[GR] ACHETEUR II,Emp_0767,,Compétence comportementale,Avoir le sens du service et de la relation client
ACHATS,[GR] ACHETEUR II,Emp_0767,,Compétence comportementale,Communiquer efficacement à l'écrit
ACHATS,[GR] ACHETEUR II,Emp_0767,,Compétence comportementale,Faire preuve d’adaptation
ACHATS,[GR] ACHETEUR II,Emp_0767,,Compétence comportementale,Faire preuve d’anticipation
ACHATS,[GR] ACHETEUR II,Emp_0767,,Compétence comportementale,Maîtriser ses émotions
ACHATS,[GR] ACHETEUR II,Emp_0767,,Compétence comportementale,Faire preuve de rigueur
ACHATS,[GR] ACHETEUR II,Emp_0767,,Compétence comportementale,Gérer son temps et ses priorités
ACHATS,[GR] ACHETEUR II,Emp_0767,,Compétences managériales,Avoir de l’influence et convaincre
ACHATS,[GR] ACHETEUR II,Emp_0767,,Compétences managériales,Etre orienté résultats
ACHATS,[GR] ACHETEUR II,Emp_0767,,Compétences managériales,Développer les compétences
ACHATS,[GR] ACHETEUR II,Emp_0767,,Compétence technique,Accompagner le changement
ACHATS,[GR] ACHETEUR II,Emp_0767,,Compétence technique,Analyser des données
ACHATS,[GR] ACHETEUR II,Emp_0767,,Compétence technique,Coordonner les échanges entre différents services
